name_similarity,dob_match,country_risk,pep_flag,prior_name_fp_rate,list_type,alert_type,label_true_match
0.616,0,3,0,0.707,UN,dob,1
0.5,0,1,0,0.73,UN,dob,1
0.619,1,1,0,0.715,OFAC,dob,1
0.314,1,2,0,1.0,OFAC,name,1
0.903,0,2,0,0.961,EU,name,0
0.242,0,2,0,0.403,OFAC,name,1
0.758,1,1,0,0.633,OFAC,name,1
0.368,1,1,0,1.0,OFAC,dob,0
0.433,1,1,0,0.614,OFAC,dob,1
0.72,0,1,0,1.0,OFAC,address,0
0.847,0,1,0,0.636,OFAC,name,1
0.196,1,2,0,0.665,EU,dob,1
0.597,0,1,0,0.83,OFAC,address,0
0.538,0,2,0,0.686,OFAC,dob,1
0.249,0,1,0,0.774,OFAC,name,1
0.635,0,1,1,0.936,OFAC,name,0
0.266,0,1,0,0.814,OFAC,name,1
0.515,0,1,0,0.721,UN,name,1
0.382,0,1,0,0.951,OFAC,name,1
0.438,0,3,0,0.832,EU,address,1
0.418,0,2,0,0.59,OFAC,name,0
0.693,0,1,0,0.997,OFAC,name,0
0.26,0,1,0,0.796,OFAC,name,0
0.576,0,3,0,0.668,OFAC,dob,0
0.392,1,1,0,0.397,UN,address,0
0.429,0,1,0,0.493,EU,dob,0
0.597,0,1,0,0.955,UN,name,1
0.355,0,3,0,0.961,OFAC,name,0
0.417,1,1,0,0.713,OFAC,dob,0
0.506,0,1,0,0.434,OFAC,name,1
0.265,0,3,0,0.537,EU,name,1
0.395,0,1,0,0.456,OFAC,name,1
0.563,0,1,0,0.451,UN,name,0
0.116,1,1,1,1.0,OFAC,dob,1
0.193,1,2,0,1.0,OFAC,name,1
0.407,0,1,0,0.532,OFAC,name,1
0.561,0,3,0,0.699,OFAC,name,0
0.907,0,2,0,0.507,UN,name,0
0.398,0,1,0,0.698,OFAC,name,0
0.17,0,3,1,0.946,UN,name,1
0.139,0,1,0,0.862,OFAC,name,0
0.397,0,1,1,0.821,EU,name,1
0.848,0,1,0,0.671,OFAC,name,1
0.148,1,1,0,0.889,EU,name,1
0.412,0,1,0,0.797,UN,name,1
0.539,1,1,0,0.761,EU,name,1
0.32,0,1,0,0.683,OFAC,dob,0
0.696,0,2,0,0.748,UN,name,1
0.697,0,1,0,0.743,OFAC,name,1
0.194,0,3,0,0.619,OFAC,name,1
0.59,0,1,0,0.584,OFAC,address,1
0.611,0,1,0,0.55,OFAC,name,1
0.422,1,1,0,0.56,EU,name,0
0.28,0,1,0,0.672,OFAC,dob,1
0.768,0,1,0,0.647,OFAC,dob,0
0.21,1,2,0,0.607,UN,dob,1
0.335,0,3,0,0.596,OFAC,name,0
0.599,0,3,0,0.744,UN,name,0
0.679,0,1,0,0.907,OFAC,name,1
0.79,1,2,0,0.698,OFAC,address,1
0.29,1,1,0,0.689,OFAC,name,1
0.749,1,1,1,0.56,EU,name,1
0.504,0,2,0,0.667,UN,address,1
0.5,1,2,0,0.879,EU,address,0
0.429,0,1,1,0.856,OFAC,address,1
0.757,0,1,0,0.845,OFAC,dob,1
0.169,0,1,0,0.84,OFAC,address,0
0.17,0,2,1,0.766,OFAC,name,0
0.795,1,1,0,0.76,OFAC,dob,1
0.611,1,3,0,0.737,UN,dob,0
0.841,0,1,0,0.637,OFAC,name,1
0.696,0,1,0,0.713,OFAC,name,1
0.387,0,1,0,0.732,EU,address,1
